o:id,url,o:resource_template,o:resource_class,o:owner,o:is_public,o:item_set/o:id,o:item_set/dcterms:title,o:media/o:id,o:media/file,dcterms:title,dcterms:creator,dcterms:subject,dcterms:contributor,dcterms:date,dcterms:type,dcterms:format,dcterms:identifier,dcterms:source,dcterms:language,dcterms:rights,dcterms:tableOfContents,dcterms:abstract,dcterms:medium,dcterms:isReferencedBy,dcterms:references,dcterms:mediator,dcterms:accessRights,dcterms:bibliographicCitation,dcterms:accrualMethod,index:geognameTerritory,index:geognameCountry,index:geognameCity,index:persname,index:namePeriodical,index:genreformType,index:subjectKeywords
15,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/15,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"364 | 365 | 366 | 367 | 368 | 369 | 370 | 371 | 372 | 373 | 374 | 375 | 376 | 377 | 378 | 379","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c5d14d8ad79b518fc02e4b8a4d3243cbda022076.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b9e80dbd2ee4071343c1ba6f2b0b14382bdeb535.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9195a7dcddb60e11567e6d7783d340926b50dee7.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/1e76d51df640a4db7f20c53ad9580e65b0db19d1.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/136477374c602a47a2c363b03be478903ecf08f7.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/dfb5a0a86d7cec89d4411db6d695414c09f06e84.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/ce2667d8da96b822f6eb6267a6e0efb102c9f1f6.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4d443998b99210df5109b2f15eb7e1f2e0b5c120.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/addb0e29f948542bc5cce16b0d8fa02f175d9f21.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c956a480c8cf5d2bc345b296ecb58994abc18ec6.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/5611b96a801d03e15675cac2e916b63cdfc3698a.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c8799f2bae1029b3fc0040a6d90eb4458f5945bc.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/ce39930d6454400fdefb056473abdb6c3df33cf7.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/2014f11c8ce1a25da33493d1784d6ddfa83e0ee9.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f4589d21c8e2d0ea607c971ff66d8ed007c7f586.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/31cb99d146d7266800a7bde5da8c0c34e70d9434.jpeg","Revue hebdomadaire, théâtrale et mondaine Le Manteau d'Arlequin",,,,"11 février 1911",Pièce,"28 pages. Impression encre noire. 22 x 16,3 cm.","https://www.nakala.fr/10.34847/nkl.5a258xp6 10.34847/nkl.5a258xp6",,,,,"Lithographe : Edouard Fuytynck.","Signes d'usage et d'usure.",,,,,"1 EN 11",,,,,,"Le Manteau d'Arlequin (revue artistique et théâtrale)",Périodique,
16,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/16,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"380 | 381 | 382 | 383 | 384 | 385 | 386 | 387 | 388 | 389 | 390","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/211e4e5d2d2f80e85a70be36fc261811301a4a4f.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c28195139101273663c1c92baa0ba49bf20e4b7d.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/228a7de5ebf1a3a5e7f154a499fa663104fba3d2.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f7f9e75a262d6ec4788f1ae72f39864e83b393ec.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/931cd642e56301d303cc7a01bce0f970c54ab412.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f08d8bae26c18fb619231dda6ee77f1a56b0b04f.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/88ee282b426453d0eb3c353da53c13b80726bf99.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/87134233c8974a95cece1fa038be2d9416b2a06d.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/64f3a3beb9e0d64d56473a459622ac7e058f85e4.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d04a293aa8c8551d595b2462ffb881bfa7031743.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/069c89710166688da10a6e3706ce20e9156c2085.jpeg","Texte pour le rôle de Toby dans Miss Trotwood",,,,"5 mars 1912",Pièce,"Manuscrit. 20 pages. 21,5 x 18,5 cm.","https://www.nakala.fr/10.34847/nkl.35a557r9 10.34847/nkl.35a557r9",,,,,"Tampons encreurs : Théâtre Royal des Galeries Saint-Hubert Bruxelles et Alfred Bloch de la Société des auteurs et compositeurs dramatiques (SACD).","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 12",,,,,,,Autre,"Manuscrit d'un rôle"
17,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/17,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"391 | 392 | 393","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/b0d7211c284fad50953b7b178788c192b29003a0.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/34afb1a65486382b66a09899fcdfe9050e06f042.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/26b619ad7fca831d67269aabee0c32cbc1f95fa6.jpeg","Émile Nélès, Marcel Roels et Darmain dans Le Million de Georges Beer et Marcel Guillemand",,,,"[entre 1911 et 1912]","Groupe de documents","3 cartes postales photographiques en noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.4bdexvr4 10.34847/nkl.4bdexvr4",,,,,"Photographe : Marc Galuzzi.","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 13.",,,"1 EN 13",,,,,"Darmain | Nélès, Émile (1876-1942) | Roels, Marcel",,"Document figuré","Photographie d'artiste"
18,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/18,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"394 | 395 | 396 | 397 | 398 | 399 | 400 | 401 | 402 | 403 | 404 | 405 | 406 | 407 | 408","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/5976457fc0bbdccdf2358a9e37b39aa7fbcb896e.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/0b7ef1e25f8857917cbe56064b362e9ab2a1f6bb.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/cdf8d99feaebe8c921f423aeccbb4f595781602e.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/a237771902aff4b0469a6a4feeb19b26d22c7451.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c199ee6f9ac1f7cd45d587843e28c8a32966d40e.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/e5a5c491519648d646c6415b0f4efed7fee1f1b3.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4b55f25b7d60fa179ae69111bcce6b771e632d52.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/a78c08b4e71d3501ed9f3658a11a7e7c438e0609.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/e6755d63697397fb71c259dd501e93fe2e8cfa2a.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/262c807d9d370bbd341f4720fdd3b7cb86e0b991.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/2f66b28fbf5d37518cf04491cb629f2df647e796.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c9e64662b82b39cb41d46b9267a78bb1d9742aae.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3a63924223271df007a38a2becb50a830559f3f1.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/75b8da61a2e38b231d820118ef1d08f514751c5c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/f5ff119645fb0344207d9f621c9f6d6c33042ecc.jpeg","Revue hebdomadaire, théâtrale et mondaine Le Manteau d'Arlequin",,,,"4 octobre 1913",Pièce,"28 pages. Impression encre noire. 22 x 16,5 cm.","https://www.nakala.fr/10.34847/nkl.c556j714 10.34847/nkl.c556j714",,,,,"Lithographe : Edouard Fuytynck.","Signes d'usage et d'usure.",,,,,"1 EN 14",,,,,,,Brochure,
19,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/19,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"409 | 410 | 411","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/37362134136379b1260d86bcad6b8e2b628d3926.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9fabb344f522bb4ae2da618c393ca0cd68e85018.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/1433064eed4a48c6d72f34594e5b84673cd664f5.jpeg","Théâtre Beriot (Louvain): programme de la soirée de Gala du 10 avril 1915, donnée au profit de l'Œuvre du Secours Théâtral annonçant la comédie Le Voyage de M. Perrichond d'Eugène Labiche et Robert Martin",,,,1915,Pièce,"4 pages. Impression encre noire. 22 x 14,3 cm.","https://www.nakala.fr/10.34847/nkl.bc8enk99 10.34847/nkl.bc8enk99",,,,,"Imprimeur et lithographe : Pol. De Raeve.","Petites déchirures, signes d'usage et d'usure.",,,,,"1 EN 15",,,,,,,Brochure,"Programme dramatique"
20,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/20,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,412,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/d96bad08e5edf57ca07fdbea98de493f0604e424.jpeg,"Théâtre de La Scala (Bruxelles) : affiche du vaudeville Les 35 milliards de Doore Thiry de M. L. Peerendboom, adaptation française de J. Willekens, 18 décembre 1915 (saison d'hiver 1915-1916)",,,,1915,Pièce,"Lithographie en couleurs.  Timbre oblitéré. 85 x 61,2 cm.","https://www.nakala.fr/10.34847/nkl.bac32le7 10.34847/nkl.bac32le7",,,,,"Lithographe : Edouard Fuytynck.","Déchirures multiples, signes d'usage et d'usure.",,,,,"1 EN 16",,,,,,,"Document figuré","Affiche dramatique"
21,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/21,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,413,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/ce1eb92d70448aceb2446a298b7b7c646a081720.jpeg,"Théâtre de La Scala (Bruxelles) : affiche du vaudeville La Famille Klepkens d'Auguste Hendrikx pour la saison d'été 1916",,,,1916,Pièce,"Lithographie en couleurs. Timbre oblitéré. 84 x 62 cm.","https://www.nakala.fr/10.34847/nkl.5b4b0be1  10.34847/nkl.5b4b0be1",,,,,"Lithographe : Jean Fuytynck.","Déchirures multiples, signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 17.",,,"1 EN 17",,,,,,,"Document figuré","Affiche dramatique"
22,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/22,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,"414 | 415 | 416 | 417 | 418 | 419 | 420 | 421","https://omekas-docker.inframshe.univ-fcomte.fr/files/original/4b830f6050909d33948d274e2805bf95eed6d778.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/436d8e665add38d8913ce77c4523325cb275ed9c.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/af3b76a59aa79c036cf7c9f722115d5818f8840d.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/6938e1f1b8aa4d384f18347d9a5dd10b724d1b0d.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/9d1be72d36a698c6590f2828a30e0b585d72cc4f.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/1ae967946ecf6ba8f7fc616ca764c46b22d4ea16.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3c8ae16c41da30feffd13d7cd51cbb36bc8a0aaf.jpeg | https://omekas-docker.inframshe.univ-fcomte.fr/files/original/2bbcaad3eaa4f4ce52063fea05abf0100c694fc5.jpeg","Théâtre du Vaudeville (Bruxelles) : programme officiel et tableau de la troupe pour la saison d'été et d'hiver 1918-1919",,,,1918,Pièce,"16 pages. Impression encre noire et rouge. 21,3 x 13,9 cm.","https://www.nakala.fr/10.34847/nkl.6e3avn80 10.34847/nkl.6e3avn80",,,,,"Imprimeur : Gustave Fischlin.","Signes d'usage et d'usure.",,,,,"1 EN 18",,,,,,,,"Programme théâtral | Tableau de la troupe"
23,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/23,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,422,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/fe947e4c63ef3d78ea71796f790e28ace5461772.jpeg,"Portrait de Nicolas Ambreville",,,,"[entre 1900 et 1910]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.06798fw9 10.34847/nkl.06798fw9",,,,,"Photographe : Marc Galuzzi.","Signes d'usage et d'usure.",,,,,"1 EN 19",,,,,"Ambreville, Nicolas (1863-1921)",,"Document figuré","Photographie d'artiste"
24,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/24,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,423,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/c54f62a62f126a51ceda727baeb9dbbd4b1b2c01.jpeg,"Portrait dédicacé et signé de Nicolas Ambreville",,,,"[entre 1916 et 1921]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 8,5 cm.","https://www.nakala.fr/10.34847/nkl.8b96q6xd 10.34847/nkl.8b96q6xd",,,,,"Photographe :  A. van Bever.","Signes d'usage et d'usure.",,,,,"1 EN 20",,,,,,,"Document figuré","Photographie d'artiste"
25,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/25,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,424,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/3c94b948ecbb02609f09f3dbf2bcf50b80ff3c41.jpeg,"Photographie avec signatures autographes d'Alfred Jacque et Nicolas Ambreville dans la comédie Le Mariage de Mlle Beulemans de Fernand Wicheler et Frantz Fonson",,,,"[vers 1915]",Pièce,"Noir et blanc. 14 x 8,8 cm.","https://www.nakala.fr/10.34847/nkl.eb0a1sem 10.34847/nkl.eb0a1sem",,,,,"Photographe :  Dupont Emèra.","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 14.",,,"1 EN 21",,,,,"Ambreville, Nicolas (1863-1921)",,"Document figuré","Photographie d'artiste"
26,https://omekas-docker.inframshe.univ-fcomte.fr/admin/item/26,"Notice archivistique",,thomas.dandin@umlp.fr,true,,,425,https://omekas-docker.inframshe.univ-fcomte.fr/files/original/649f5d2168d6a0e80a6b937452708e5ee35c62a0.jpeg,"Photographie dédicacée de Nicolas Ambreville",,,,"[entre 1910 et 1915]",Pièce,"Carte postale photographique en noir et blanc. 13,5 x 8,5 cm.","https://doi.org/10.34847/NKL.66CCNSVH 10.34847/nkl.66ccnsvh",,,,,"Photographe : inconnu.","Signes d'usage et d'usure.",,"MILLER, Victorine, L'Oncle Curé, Comédie, France Marchal-Ninosque (éd.), Besançon, PUFC, 2023, p. 8.",,,"1 EN 22",,,,,"Ambreville, Nicolas (1863-1921)",,"Document figuré","Photographie d'artiste"
